run,ml_accuracy,ml_f1,rule_accuracy,rule_f1,hybrid_accuracy,hybrid_f1
28,0.59,0.588088685756826,0.562,0.5533325014244622,0.556,0.546038116530373
10,0.606,0.6021252354982655,0.543,0.5347469124779609,0.549,0.5414912926906111
3,0.583,0.5834597914316725,0.563,0.5543257522975956,0.584,0.5763429752066115
6,0.593,0.5907148943223737,0.539,0.5327288076403577,0.567,0.5600627489935327
7,0.579,0.5720273529092847,0.562,0.5513422585371774,0.552,0.5480762537450974
45,0.579,0.5798624434652025,0.532,0.5229030833016853,0.547,0.5349891067538126
39,0.606,0.6010216994552232,0.544,0.536443295884632,0.542,0.5398779988534143
13,0.583,0.5721855610402442,0.549,0.5404501473355114,0.522,0.511945981153159
8,0.597,0.5954080111796106,0.549,0.5397599509526505,0.561,0.5491386122965071
54,0.578,0.5698670462428947,0.569,0.5596149847397441,0.556,0.5524081941959849
92,0.585,0.580795674079774,0.539,0.530509332707303,0.53,0.5220860461143161
15,0.609,0.6056349533977067,0.564,0.5593935260542499,0.569,0.5611424671315778
1,0.585,0.5818940015412534,0.528,0.5238140279015472,0.569,0.5612316340897513
60,0.602,0.6009570917279929,0.557,0.5499466898059541,0.568,0.5610574835498848
62,0.567,0.5618691020117027,0.538,0.5329011749438771,0.563,0.5520691606335283
33,0.599,0.5925829789975455,0.565,0.5595248972001395,0.556,0.552818291128785
31,0.613,0.6114914094292688,0.565,0.5555765856577571,0.591,0.5864586349131459
46,0.585,0.5835460058096814,0.565,0.5584990840526117,0.551,0.5401020237154691
43,0.571,0.562594300064181,0.539,0.5218163872318184,0.533,0.5283185310057609
41,0.58,0.5759716408187074,0.539,0.5284687960315023,0.572,0.5656046049971662
58,0.581,0.5792073239552231,0.57,0.5647302788184719,0.584,0.5753340541890283
24,0.595,0.5887025206184203,0.539,0.5253787302366172,0.553,0.5448036976877639
57,0.587,0.5859092011265924,0.567,0.5596906458714871,0.552,0.5456904251813394
26,0.588,0.5860295260295261,0.572,0.5592323600749841,0.536,0.5282295466388893
36,0.602,0.6009316136650975,0.548,0.5372777777777779,0.557,0.5475703431577189
34,0.606,0.5997255624164951,0.544,0.5357801959672592,0.516,0.5022466013104238
14,0.614,0.6077085927076488,0.55,0.5432745896548633,0.577,0.5679265551206216
38,0.568,0.5609051989153259,0.563,0.5558071855949481,0.543,0.5363934927676516
56,0.576,0.5753700719194604,0.565,0.5525419348333233,0.572,0.5582183978263997
22,0.571,0.558332807308029,0.551,0.5333318107541006,0.529,0.5237521554866766
59,0.588,0.5858317454793439,0.553,0.5468613383275037,0.564,0.5509398243083853
5,0.578,0.5754150832403166,0.526,0.5168941992743431,0.556,0.549292639156625
40,0.572,0.5672813128181139,0.574,0.5605256132448141,0.558,0.5468449565905568
32,0.596,0.5879550682674002,0.571,0.5565744383619974,0.568,0.554353330627515
50,0.604,0.5974881367915924,0.564,0.5491450709583693,0.553,0.5426616543494668
21,0.594,0.5861617849276599,0.564,0.5526571891597862,0.554,0.5451357084088326
19,0.563,0.5582836935075529,0.552,0.5428717471070368,0.545,0.5347262689560699
12,0.572,0.5640515417228842,0.526,0.5166033754044435,0.55,0.5423416070705938
93,0.582,0.5765208327467173,0.56,0.5439931999454011,0.538,0.5258242734008949
75,0.59,0.5887697757188014,0.557,0.5487099869333365,0.581,0.5710385315748331
29,0.574,0.5631740371549216,0.559,0.5474392345339968,0.559,0.5512689023054568
66,0.586,0.5798422215169806,0.544,0.5363231821331452,0.581,0.5664321938216129
42,0.604,0.599026455026455,0.561,0.5507325605849739,0.579,0.5677069677230332
20,0.588,0.587450582605077,0.551,0.5396999361650668,0.563,0.5514181353118531
94,0.606,0.6076850843931411,0.561,0.5518119929733799,0.562,0.545061471392378
78,0.58,0.5727215119852261,0.574,0.564645227450598,0.563,0.5521098091084617
67,0.58,0.5773544735486479,0.55,0.544513388163398,0.577,0.5650899805472583
47,0.58,0.5790666466268733,0.528,0.5183871920114805,0.551,0.5423389261163922
18,0.601,0.5992615334645883,0.562,0.5544583817538861,0.553,0.5460553266413789
80,0.592,0.5905752883322083,0.545,0.5350485403713584,0.538,0.5297215141860692
84,0.593,0.5857603510561588,0.55,0.5313100706190129,0.544,0.5318608739616358
87,0.566,0.560300098810231,0.547,0.5359769732675912,0.54,0.5350564806071306
17,0.602,0.5950238429478573,0.527,0.5146580421644549,0.56,0.5533040843707977
2,0.565,0.5551959741191218,0.533,0.5218556678334764,0.54,0.5318880086321947
49,0.574,0.5709049516762533,0.56,0.5469689073903181,0.546,0.5304862507096294
30,0.585,0.5823883439389527,0.561,0.5493525938927518,0.552,0.5435513967863348
63,0.6,0.59682757186774,0.555,0.542403849006346,0.564,0.5551077727038312
61,0.62,0.6122786935286935,0.57,0.5573508994465062,0.556,0.5435130031271836
4,0.572,0.5695587289790188,0.566,0.5581800839336689,0.522,0.5028888251883762
100,0.596,0.5938334877408176,0.554,0.5450522900926281,0.561,0.5552374128050984
77,0.58,0.5806798212570505,0.548,0.5396937938256413,0.568,0.5558662609264727
16,0.597,0.5940991096023726,0.547,0.5373574498709973,0.575,0.5678932974554827
37,0.599,0.5950034876134865,0.547,0.5389980911123893,0.55,0.5423195811752345
89,0.589,0.5872881055033846,0.542,0.5373306889288624,0.588,0.58054912391705
79,0.574,0.5741831202049403,0.568,0.5602275619004732,0.571,0.555537370491343
53,0.584,0.5730964792058654,0.571,0.5624639788222516,0.561,0.554776030169242
76,0.573,0.5702815644162946,0.545,0.5348826431074497,0.548,0.5397445209611602
69,0.59,0.5863173653900019,0.561,0.5514876658734978,0.566,0.5613452230263047
72,0.598,0.5978124780852505,0.57,0.5652487990284932,0.578,0.5630023640661938
117,0.588,0.5851719916682299,0.523,0.518775466613612,0.527,0.5207990114526281
44,0.617,0.6108025408186665,0.581,0.573864703668337,0.573,0.5654625544285532
64,0.563,0.5587985341917978,0.538,0.5256954332492922,0.539,0.5326941789331766
55,0.589,0.5852244094168545,0.536,0.5254563453205144,0.542,0.5354459644387163
35,0.563,0.5585978244221285,0.528,0.520751438739903,0.539,0.5273324291132631
23,0.579,0.5732683113839041,0.521,0.5116131551987768,0.522,0.5136235373473031
65,0.558,0.552955643390426,0.549,0.5429768354779999,0.555,0.5471215068064704
122,0.596,0.5975244497921121,0.564,0.5578847195604691,0.553,0.5444197030786528
11,0.6,0.5998708112758268,0.573,0.5639242657438457,0.586,0.5690807011667064
83,0.566,0.5621924044286302,0.562,0.550408748191921,0.59,0.5789149049578589
9,0.59,0.587602215090972,0.543,0.5367503049426151,0.566,0.5593197628306587
110,0.631,0.6248753913866832,0.576,0.5665939567229167,0.557,0.5440330244536913
73,0.604,0.5983343628315329,0.551,0.5403500638872551,0.561,0.5556341144757829
25,0.6,0.5950785967773465,0.558,0.5515553241260418,0.55,0.5377976450053342
52,0.589,0.5832057516815262,0.56,0.5464262380497564,0.567,0.5595790937602777
74,0.62,0.6197462848991536,0.561,0.5487380238147112,0.594,0.5852039256294526
82,0.589,0.5871934084136857,0.561,0.5586502531665051,0.559,0.5506356175990269
85,0.573,0.5702401948748911,0.573,0.562835454168462,0.595,0.5864309645353475
131,0.585,0.5839691040192984,0.534,0.5242328356091247,0.549,0.5387101442041398
95,0.589,0.5805732333304495,0.543,0.5323440445993787,0.539,0.534933860906004
