run,ml_accuracy,ml_f1,rule_accuracy,rule_f1,hybrid_accuracy,hybrid_f1
1,0.5975,0.595665679066451,0.5435,0.5378740602016002,0.556,0.5456106547745107
2,0.601,0.5967948270572966,0.5625,0.5512721916746458,0.5645,0.5535238120905356
3,0.597,0.5916550281016341,0.547,0.5368552903786997,0.53,0.5223585013138766
4,0.62,0.6197741766898407,0.5575,0.5502252157441966,0.5965,0.5891172563175919
5,0.6075,0.6036498130834137,0.543,0.5364380246276858,0.5735,0.5657339275266624
6,0.613,0.6102322183953447,0.5625,0.549669807724447,0.586,0.5741008869120914
7,0.607,0.6058292421507421,0.56,0.5482741616465792,0.575,0.5636506086088582
8,0.607,0.605187198220355,0.536,0.5299458060292433,0.5585,0.5519736498608512
9,0.615,0.6113713720423011,0.5515,0.5437820483818584,0.563,0.558567572382856
10,0.61,0.6093697853125245,0.548,0.5431023417103029,0.5755,0.5639253984544496
11,0.5985,0.5956070167712691,0.545,0.5358837336464981,0.5615,0.5570601188267191
12,0.6095,0.6047356176680451,0.5545,0.5439320945980352,0.575,0.5663716104328275
13,0.594,0.592962131206732,0.544,0.5381696242583522,0.5565,0.5472279063655184
14,0.6125,0.6108136032738618,0.565,0.5543557626069636,0.554,0.5429324587467921
15,0.631,0.6287722715385348,0.572,0.5638620783979114,0.568,0.5598450680556274
16,0.5955,0.5903773655651537,0.54,0.5304227897004641,0.5575,0.5477040449304412
17,0.6025,0.599414632644817,0.556,0.5476622813616636,0.5645,0.5585564526658495
18,0.5935,0.5889600837526698,0.545,0.5320712699566413,0.557,0.5491577257611256
19,0.6085,0.6079788760873585,0.553,0.5428198289751632,0.577,0.565991444953804
20,0.601,0.6026334097282423,0.5515,0.5438165800390719,0.57,0.5604575726119215
21,0.609,0.6055436569609646,0.543,0.5326784724528545,0.58,0.5707056458133996
22,0.604,0.6006661241954804,0.557,0.5442788453258217,0.5375,0.5297643693045627
23,0.596,0.5945122117460263,0.5405,0.5288914271903337,0.563,0.5533032897482948
24,0.6,0.5964536672809532,0.5555,0.5474203262029458,0.567,0.5588920237902958
25,0.6005,0.5951812717922956,0.557,0.544592309822595,0.5525,0.5433095465289371
26,0.606,0.6038121597453435,0.557,0.5460241491740184,0.5525,0.5463869669599237
27,0.5945,0.5921948386026056,0.5715,0.5605333756527079,0.56,0.5509819905923802
28,0.619,0.6151015435345567,0.5465,0.5309189814757708,0.5515,0.5409860538807991
29,0.5945,0.5885771182686277,0.5385,0.5250748649565781,0.5595,0.5541517174300816
30,0.5955,0.5919111966723243,0.5515,0.5434121049249777,0.556,0.5450872748443253
31,0.6025,0.596680161047446,0.5615,0.5480180899175312,0.5695,0.5645595064622686
32,0.6055,0.6023079618059697,0.555,0.5471881963238441,0.5465,0.5376812316786773
33,0.609,0.6046261638667924,0.5475,0.5379715168541676,0.555,0.5479031058410015
34,0.6005,0.5972716706756639,0.565,0.554724193960248,0.557,0.5460681552728985
35,0.603,0.6002883159002528,0.555,0.5488143547870195,0.57,0.5610515331088298
36,0.603,0.5985149723458,0.5385,0.5283000877580126,0.562,0.5535485818326218
37,0.5995,0.5983086186262069,0.5565,0.5469672298114482,0.5795,0.5678765595728598
38,0.6285,0.6255696980129541,0.5365,0.5262492766481078,0.5365,0.5297197911457966
39,0.613,0.6081006648424648,0.559,0.5499903587055165,0.5595,0.5479611879188063
40,0.595,0.5951748630743489,0.55,0.5406736633340082,0.5555,0.5445716932513255
41,0.589,0.5878510112062718,0.546,0.5379552705750639,0.547,0.5390572397140474
42,0.6105,0.6047982825872272,0.558,0.5437884146920949,0.567,0.5624045124565784
43,0.611,0.6050889226293066,0.544,0.534855492631806,0.5685,0.5642655427521627
44,0.602,0.5969899476419201,0.561,0.551467635102587,0.56,0.5529223644567028
45,0.614,0.6132875954813959,0.5505,0.5411560406013602,0.568,0.5597169860042349
46,0.5995,0.5982159892594919,0.5505,0.5417224205609665,0.5735,0.5629839783927687
47,0.596,0.5916636826921188,0.5555,0.5460211038917812,0.5445,0.5365067125744615
48,0.6085,0.6045746768814717,0.555,0.5436453823443815,0.556,0.544987085468524
49,0.6005,0.5964834561030079,0.557,0.547236270446155,0.5685,0.5605746334213056
50,0.6035,0.5987380992562901,0.5545,0.538158287074085,0.543,0.5321005507689026
51,0.606,0.6048757430457798,0.5605,0.5541197879132111,0.5665,0.5595499950062915
52,0.594,0.5920596798585739,0.56,0.5472629596947188,0.568,0.5589289811245033
53,0.602,0.5946890383686377,0.537,0.5252459294069572,0.554,0.5490067769934385
54,0.6285,0.6244830718616757,0.5525,0.5417249135393881,0.5675,0.5601016192637159
55,0.603,0.5998925690964511,0.5505,0.5410385598728663,0.543,0.5349689400155855
56,0.5935,0.5896864678327814,0.533,0.5170224671300202,0.555,0.548490450098526
57,0.6065,0.6053494514510125,0.5605,0.554893718085738,0.587,0.5780588559974436
58,0.597,0.5931053231605717,0.548,0.5396080550597789,0.552,0.5412760140941629
59,0.6055,0.6013917258540945,0.536,0.5240662666194967,0.557,0.5506774199681029
60,0.5985,0.5957526253809745,0.542,0.5308018398379845,0.557,0.550658790691977
61,0.609,0.6026527228172776,0.556,0.5433410056547291,0.558,0.552722692329909
62,0.586,0.5844356102805204,0.5535,0.5441168203937128,0.56,0.5516865059217331
63,0.603,0.5998025678784585,0.5475,0.5372693853049749,0.5635,0.5535376221788747
64,0.5935,0.5872625761953135,0.54,0.5262967797685336,0.5625,0.5523023392966292
65,0.6215,0.6157933543229737,0.567,0.5544996122738076,0.571,0.5614924767453342
66,0.604,0.6024159324327153,0.5505,0.5387072088165649,0.5655,0.5575904011421983
67,0.603,0.6014788969446297,0.563,0.5552614077898439,0.573,0.5612488047775794
68,0.5965,0.5943202344128623,0.565,0.5523961658837395,0.5635,0.5533031801290783
69,0.628,0.6272392974026825,0.552,0.5435573149449298,0.577,0.567671611608031
70,0.598,0.598492143232434,0.55,0.5436953122524095,0.5585,0.5481325647414582
71,0.5965,0.5943368327058468,0.554,0.5474869964913577,0.57,0.5629667533417824
72,0.6025,0.5995013381609535,0.5495,0.5372364219383255,0.5535,0.5443111480896904
73,0.599,0.5966576112315083,0.535,0.5238535332705309,0.542,0.5319524455742255
74,0.619,0.6139183995582571,0.545,0.5334908208235293,0.556,0.5485127993039534
75,0.584,0.5799526514476677,0.551,0.5410079162311902,0.5515,0.5473337848530826
76,0.5925,0.5913969133057506,0.5515,0.5439875237311437,0.5495,0.5415598565417127
77,0.602,0.5984848198533606,0.5505,0.5422927728395429,0.5525,0.5449740133265593
78,0.6045,0.6051053687034081,0.558,0.5528373143571317,0.5665,0.5588914379186658
79,0.606,0.601732461902711,0.548,0.5344316713415013,0.553,0.5427135460772946
80,0.593,0.5925484737520561,0.556,0.548070523261364,0.5595,0.54963121048686
81,0.603,0.6021441159738917,0.5525,0.5426641376108411,0.5515,0.538455309651099
82,0.619,0.6164352748977259,0.5555,0.5486260135242635,0.5685,0.561601010486057
83,0.6085,0.6039678726542431,0.5505,0.5413372198414083,0.562,0.5519351475898903
84,0.583,0.5732412989642736,0.5475,0.5365356745322467,0.5375,0.5332079848062118
85,0.602,0.5972267880196269,0.532,0.5237298818144769,0.541,0.5338021152781183
